date,Currently Infected,Cases
31-Oct-21,115786,4805445
1-Nov-21,117076,4808280
2-Nov-21,117824,4811134
3-Nov-21,118697,4816355
4-Nov-21,120827,4822298
5-Nov-21,123851,4829105
6-Nov-21,127234,4835916
7-Nov-21,130568,4841778
8-Nov-21,132107,4846084
9-Nov-21,133777,4852430
10-Nov-21,136342,4860376
11-Nov-21,140356,4869010
12-Nov-21,144142,4877580
13-Nov-21,148654,4886179
14-Nov-21,152878,4893856
15-Nov-21,154619,4899154
16-Nov-21,157087,4906900
17-Nov-21,160843,4917135
18-Nov-21,166360,4927870
19-Nov-21,171023,4938472
20-Nov-21,177381,4950104
21-Nov-21,182803,4959879
22-Nov-21,185597,4966324
23-Nov-21,188684,4976443
24-Nov-21,193567,4988970
25-Nov-21,200946,5002825
26-Nov-21,207058,5016599
27-Nov-21,213479,5029561
28-Nov-21,221066,5042580
29-Nov-21,224315,5050604
30-Nov-21,229021,5063444
1-Dec-21,234665,5078638
2-Dec-21,243850,5095545
3-Dec-21,251258,5112688
4-Dec-21,258930,5129425
5-Dec-21,267314,5144542
6-Dec-21,271207,5154097
7-Dec-21,276387,5169949
8-Dec-21,284832,5188022
9-Dec-21,290259,5200629
10-Dec-21,298991,5221261
11-Dec-21,309871,5242446
12-Dec-21,320989,5261786
13-Dec-21,326953,5274574
14-Dec-21,333729,5295389
15-Dec-21,342158,5318740
16-Dec-21,354614,5345013
17-Dec-21,368859,5373836
18-Dec-21,384608,5402139
19-Dec-21,399524,5426559
20-Dec-21,407049,5442870
21-Dec-21,421741,5473915
22-Dec-21,440546,5510449
23-Dec-21,468172,5555345
24-Dec-21,499197,5606320
25-Dec-21,539339,5661461
26-Dec-21,555861,5686505
27-Dec-21,576729,5717516
28-Dec-21,638650,5796359
29-Dec-21,715466,5895182
30-Dec-21,820841,6022963
31-Dec-21,943342,6168201
1-Jan-22,1135448,6380859
2-Jan-22,1184586,6442310
3-Jan-22,1239561,6510828
4-Jan-22,1381005,6682837
5-Jan-22,1538195,6873248
6-Jan-22,1712184,7094207
7-Jan-22,1793414,7203246
8-Jan-22,1939603,7402153
9-Jan-22,2065781,7558892
10-Jan-22,2111229,7661132
11-Jan-22,2242048,7882710
12-Jan-22,2330662,8079843
13-Jan-22,2433023,8265350
14-Jan-22,2494604,8452503
15-Jan-22,2555052,8633800
16-Jan-22,2625814,8784018
17-Jan-22,2632595,8867768
18-Jan-22,2640625,9097049
19-Jan-22,2697333,9290297
20-Jan-22,2743602,9480006
21-Jan-22,2751616,9659977
22-Jan-22,2774652,9832067
23-Jan-22,2782615,9971567
24-Jan-22,2757910,10049606
25-Jan-22,2716983,10240531
26-Jan-22,2741467,10408477
27-Jan-22,2731813,10564993
28-Jan-22,2694357,10709512
29-Jan-22,2690254,10847029
30-Jan-22,2669521,10951256
31-Jan-22,2618674,11009272
1-Feb-22,2503151,11143059
2-Feb-22,2434481,11262600
3-Feb-22,2356468,11376939
4-Feb-22,2245475,11476732
5-Feb-22,2157778,11572028
6-Feb-22,2101107,11649595
7-Feb-22,2018847,11691506
8-Feb-22,1955947,11793914
9-Feb-22,1902997,11875808
10-Feb-22,1841818,11952175
11-Feb-22,1779492,12019476
12-Feb-22,1724525,12082241
13-Feb-22,1667467,12134469
14-Feb-22,1619502,12163338
15-Feb-22,1579414,12234478
16-Feb-22,1509304,12294534
17-Feb-22,1467409,12352599
18-Feb-22,1433553,12406529
19-Feb-22,1399309,12457304
20-Feb-22,1377933,12499561
21-Feb-22,1351647,12524135
22-Feb-22,1321625,12584428
23-Feb-22,1252576,12634911
24-Feb-22,1230290,12682313
25-Feb-22,1206949,12724345
26-Feb-22,1171941,12764063
27-Feb-22,1152782,12795062
28-Feb-22,1130690,12813592
1-Mar-22,1105112,12861854
2-Mar-22,1093152,12899460
3-Mar-22,1072273,12941317
4-Mar-22,1055834,12980906
5-Mar-22,1050406,13021798
6-Mar-22,1047747,13057518
7-Mar-22,1039803,13080217
8-Mar-22,1043880,13141886
9-Mar-22,1033992,13191412
10-Mar-22,1003263,13246606
11-Mar-22,1008725,13300705
12-Mar-22,1018347,13355853
13-Mar-22,1031952,13405655
14-Mar-22,1036086,13435752
15-Mar-22,1069630,13522825
16-Mar-22,1088745,13598044
17-Mar-22,1122844,13680461
18-Mar-22,1154450,13758640
19-Mar-22,1181331,13833991
20-Mar-22,1206504,13895423
21-Mar-22,1208705,13928613
22-Mar-22,1235824,14027309
23-Mar-22,1261028,14104588
24-Mar-22,1280080,14187375
25-Mar-22,1281387,14264432
26-Mar-22,1289294,14339022
27-Mar-22,1297738,14399570
28-Mar-22,1288967,14431194
29-Mar-22,1294961,14524662
30-Mar-22,1318464,14603638
31-Mar-22,1314393,14679703
1-Apr-22,1306932,14754839
2-Apr-22,1314039,14827234
3-Apr-22,1319850,14881649
4-Apr-22,1310255,14913094
5-Apr-22,1310414,15002084
6-Apr-22,1310398,15072054
7-Apr-22,1289913,15142923
8-Apr-22,1285945,15210045
9-Apr-22,1274594,15274857
10-Apr-22,1283082,15328574
11-Apr-22,1269432,15357423
12-Apr-22,1265750,15441814
13-Apr-22,1265128,15504665
14-Apr-22,1265156,15570506
15-Apr-22,1256548,15632926
16-Apr-22,1258656,15697153
17-Apr-22,1263428,15749478
18-Apr-22,1254181,15768014
19-Apr-22,1246163,15795886
20-Apr-22,1245406,15896948
21-Apr-22,1261055,15972679
22-Apr-22,1261514,16046573
23-Apr-22,1270866,16117846
24-Apr-22,1282739,16174647
25-Apr-22,1281255,16199994
26-Apr-22,1273784,16230131
27-Apr-22,1274033,16319111
28-Apr-22,1288032,16389014
29-Apr-22,1286364,16448430
30-Apr-22,1269174,16502995
1-May-22,1270900,16544021
2-May-22,1244544,16563301
3-May-22,1239816,16626124
4-May-22,1226894,16673735
5-May-22,1205020,16722522
6-May-22,1186230,16766835
7-May-22,1171466,16807875
8-May-22,1202538,16839019
9-May-22,1143735,16856399
10-May-22,1123336,16912982
