date,Currently Infected,Cases,Currently Infected_true,Cases_true,Recovered/Removed_true
3-Nov-21,118697,4816355,120185,4818362,4698177
4-Nov-21,120827,4822298,122297,4823552,4701256
5-Nov-21,123851,4829105,124444,4828953,4704509
6-Nov-21,127234,4835916,126723,4834852,4708129
7-Nov-21,130568,4841778,129244,4841141,4711897
8-Nov-21,132107,4846084,132034,4847814,4715781
9-Nov-21,133777,4852430,134932,4854739,4719807
10-Nov-21,136342,4860376,137992,4861920,4723927
11-Nov-21,140356,4869010,141179,4869359,4728180
12-Nov-21,144142,4877580,144395,4876941,4732545
13-Nov-21,148654,4886179,147725,4884722,4736997
14-Nov-21,152878,4893856,151226,4892831,4741605
15-Nov-21,154619,4899154,154940,4901239,4746299
16-Nov-21,157087,4906900,158781,4909938,4751157
17-Nov-21,160843,4917135,162884,4919070,4756186
18-Nov-21,166360,4927870,167159,4928502,4761343
19-Nov-21,171023,4938472,171585,4938098,4766513
20-Nov-21,177381,4950104,176099,4948032,4771934
21-Nov-21,182803,4959879,180774,4958295,4777521
22-Nov-21,185597,4966324,185714,4969002,4783288
23-Nov-21,188684,4976443,190862,4980163,4789301
24-Nov-21,193567,4988970,196019,4991514,4795495
25-Nov-21,200946,5002825,201485,5003329,4801844
26-Nov-21,207058,5016599,207016,5015369,4808352
27-Nov-21,213479,5029561,212779,5027798,4815019
28-Nov-21,221066,5042580,218650,5040607,4821957
29-Nov-21,224315,5050604,224779,5053853,4829074
30-Nov-21,229021,5063444,231093,5067580,4836487
1-Dec-21,234665,5078638,237586,5081846,4844260
2-Dec-21,243850,5095545,244193,5096412,4852219
3-Dec-21,251258,5112688,250892,5111197,4860305
4-Dec-21,258930,5129425,257659,5126412,4868753
5-Dec-21,267314,5144542,264825,5142038,4877213
6-Dec-21,271207,5154097,271455,5157050,4885595
7-Dec-21,276387,5169949,278274,5172561,4894286
8-Dec-21,284832,5188022,285552,5188707,4903155
9-Dec-21,290259,5200629,293219,5205456,4912236
10-Dec-21,298991,5221261,301183,5222667,4921484
11-Dec-21,309871,5242446,309375,5240587,4931212
12-Dec-21,320989,5261786,317564,5259261,4941696
13-Dec-21,326953,5274574,326758,5279887,4953129
14-Dec-21,333729,5295389,336739,5301683,4964944
15-Dec-21,342158,5318740,347416,5324497,4977081
16-Dec-21,354614,5345013,358635,5348036,4989401
17-Dec-21,368859,5373836,370077,5372078,5002001
18-Dec-21,384608,5402139,382650,5397582,5014931
19-Dec-21,399524,5426559,396706,5424969,5028263
20-Dec-21,407049,5442870,412928,5455016,5042088
21-Dec-21,421741,5473915,431548,5488228,5056680
22-Dec-21,440546,5510449,453653,5525274,5071622
23-Dec-21,468172,5555345,475986,5562409,5086423
24-Dec-21,499197,5606320,500226,5601644,5101418
25-Dec-21,539339,5661461,531213,5647708,5116494
26-Dec-21,555861,5686505,570488,5702670,5132182
27-Dec-21,576729,5717516,620869,5769472,5148603
28-Dec-21,638650,5796359,684318,5849741,5165423
29-Dec-21,715466,5895182,769477,5952512,5183035
30-Dec-21,820841,6022963,859295,6060484,5201190
31-Dec-21,943342,6168201,953985,6173815,5219830
1-Jan-22,1135448,6380859,1060036,6300454,5240419
2-Jan-22,1184586,6442310,1177568,6440178,5262610
3-Jan-22,1239561,6510828,1304903,6593213,5288310
4-Jan-22,1381005,6682837,1426342,6741076,5314735
5-Jan-22,1538195,6873248,1541221,6886976,5345754
